,Source,Target,Weight
0,Aemon,Grenn,5
1,Aemon,Samwell,31
2,Aerys,Jaime,18
3,Aerys,Robert,6
4,Aerys,Tyrion,5
5,Aerys,Tywin,8
6,Alliser,Mance,5
7,Amory,Oberyn,5
8,Arya,Anguy,11
9,Arya,Beric,23
10,Arya,Bran,9
11,Arya,Brynden,6
12,Arya,Cersei,5
13,Arya,Gendry,43
14,Arya,Gregor,7
15,Arya,Jaime,11
16,Arya,Joffrey,6
17,Arya,Jon,7
18,Arya,Rickon,8
19,Arya,Robert,4
20,Arya,Roose,5
21,Arya,Sandor,46
22,Arya,Thoros,18
23,Arya,Tyrion,5
24,Balon,Loras,4
25,Belwas,Barristan,18
26,Belwas,Illyrio,10
27,Beric,Anguy,4
28,Beric,Gendry,4
29,Beric,Thoros,21
30,Bran,Hodor,96
31,Bran,Jojen,46
32,Bran,Jon,12
33,Bran,Luwin,4
34,Bran,Meera,54
35,Bran,Nan,14
36,Bran,Rickon,35
37,Bran,Samwell,11
38,Bran,Theon,11
39,Brienne,Loras,7
40,Bronn,Gregor,5
41,Bronn,Podrick,19
42,Brynden,Brynden,7
43,Brynden,Lothar,4
44,Brynden,Walder,5
45,Catelyn,Bran,4
46,Catelyn,Brienne,7
47,Catelyn,Brynden,8
48,Catelyn,Cersei,4
49,Catelyn,Edmure,16
50,Catelyn,Hoster,9
51,Catelyn,Jaime,19
52,Catelyn,Jeyne,10
53,Catelyn,Lysa,8
54,Catelyn,Petyr,5
55,Catelyn,Robb,43
56,Catelyn,Roose,4
57,Catelyn,Roslin,6
58,Catelyn,Sansa,8
59,Catelyn,Stannis,4
60,Catelyn,Tyrion,5
61,Catelyn,Walder,19
62,Cersei,Brienne,5
63,Cersei,Bronn,4
64,Cersei,Elia,4
65,Cersei,Gregor,6
66,Cersei,Ilyn,7
67,Cersei,Jaime,36
68,Cersei,Joffrey,23
69,Cersei,Meryn,10
70,Cersei,Pycelle,4
71,Cersei,Robert,16
72,Cersei,Sandor,6
73,Cersei,Shae,4
74,Cersei,Tyrion,46
75,Cersei,Varys,4
76,Craster,Karl,6
77,Daario,Drogo,4
78,Daario,Irri,5
79,Daenerys,Aegon,8
80,Daenerys,Barristan,20
81,Daenerys,Belwas,26
82,Daenerys,Daario,14
83,Daenerys,Drogo,18
84,Daenerys,Irri,17
85,Daenerys,Jorah,47
86,Daenerys,Kraznys,10
87,Daenerys,Missandei,26
88,Daenerys,Rakharo,7
89,Daenerys,Rhaegar,12
90,Daenerys,Robert,5
91,Daenerys,Viserys,8
92,Daenerys,Worm,14
93,Davos,Cressen,4
94,Davos,Salladhor,16
95,Eddard,Arya,18
96,Eddard,Beric,8
97,Eddard,Bran,15
98,Eddard,Catelyn,5
99,Eddard,Cersei,6
100,Eddard,Jaime,6
101,Eddard,Jon,8
102,Eddard,Rickon,8
103,Eddard,Robb,13
104,Eddard,Robert,10
105,Eddard,Sandor,5
106,Eddard,Sansa,6
107,Eddison,Grenn,8
108,Edmure,Brynden,7
109,Edmure,Lothar,4
110,Edmure,Roslin,16
111,Edmure,Walder,9
112,Gendry,Thoros,7
113,Gilly,Craster,17
114,Gregor,Elia,9
115,Gregor,Ilyn,7
116,Gregor,Meryn,7
117,Gregor,Oberyn,24
118,Gregor,Sandor,12
119,Hodor,Jojen,35
120,Hodor,Meera,41
121,Hoster,Edmure,9
122,Irri,Drogo,7
123,Jaime,Balon,6
124,Jaime,Barristan,4
125,Jaime,Brienne,88
126,Jaime,Edmure,5
127,Jaime,Elia,4
128,Jaime,Gregor,6
129,Jaime,Joffrey,15
